experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,num_sequence,correct,corsi_results_location_0,corsi_results_location_1
corsi_block_example,cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07,1,1,1,1,0.3533334,15.80131,,False,corsi_block_example/cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07/S001/othertrialdata/corsi_results_T001.json,corsi_results_T001.json
corsi_block_example,cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07,1,2,1,2,16.80205,22.62075,,True,corsi_block_example/cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07/S001/othertrialdata/corsi_results_T002.json,corsi_results_T002.json
corsi_block_example,cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07,1,3,1,3,23.62169,28.38681,,False,corsi_block_example/cedar-64801dbd-0e03-4e15-98aa-c9a40f6a2f07/S001/othertrialdata/corsi_results_T003.json,corsi_results_T003.json
